ID	汉字	拼音
696	臂	bi4
697	蹕	bi4
698	鞞	bing3
699	髀	bi4
700	奰	bei4
701	璧	bi4
702	鄨	bi4
703	饆	bi4
704	繴	bi4
705	襞	bi4
706	襣	bi4
707	鏎	bi4
708	鞸	bi4
709	韠	bi4
710	躃	bi4
711	躄	bi4
712	魓	bi4
713	贔	bi4
714	鐴	bei4
715	驆	bi4
716	鷝	bi4
717	鷩	bi4
718	鷩	bie1
719	鼊	bi4
720	边	bian1
721	砭	bian1
722	笾	bian1
723	猵	bian1
724	编	bian1
725	萹	pian1
726	煸	bian1
727	牑	bian1
728	甂	bian1
729	箯	bian1
730	編	bian1
731	蝙	bian1
732	獱	bin1
733	邉	bian1
734	鍽	bian1
735	鳊	bian1
736	邊	bian1
737	鞭	bian1
738	鯾	bian1
739	鯿	bian1
740	籩	bian1
741	炞	bian3
742	贬	bian3
743	扁	bian3
744	窆	bian3
745	匾	bian3
746	貶	bian3
747	惼	bian3
748	碥	bian3
749	稨	bian3
750	褊	bian3
751	糄	bian1
752	鴘	pian3
753	藊	bian3
754	卞	bian4
755	弁	bian4
756	忭	bian4
757	抃	bian4
758	汳	bian4
759	汴	bian4
760	苄	bian4
761	釆	bian4
762	峅	bian4
763	拚	pan4
764	便	bian4
765	便	pian2
766	变	bian4
767	変	bian4
768	昪	bian4
769	覍	bian4
770	徧	bian4
771	揙	bian3
772	缏	bian4
773	遍	bian4
774	閞	bian4
775	辡	bian4
776	緶	bian4
777	艑	bian4
778	辧	bian4
779	辨	bian4
780	辩	bian4
781	辫	bian4
782	辮	bian4
783	辯	bian4
784	變	bian4
785	杓	shao2
786	彪	biao1
787	标	biao1
788	飑	biao1
789	骉	biao1
790	淲	biao1
791	猋	biao1
792	脿	biao1
793	墂	biao1
794	幖	biao1
795	滮	biao1
796	蔈	biao1
797	颮	biao1
798	骠	biao1
799	標	biao1
800	熛	biao1
801	膘	biao1
802	瘭	biao1
803	镖	biao1
804	飙	biao1
805	飚	biao1
806	儦	biao1
807	颷	biao1
808	瀌	biao1
809	謤	biao1
810	爂	biao1
811	臕	biao1
812	贆	biao1
813	鏢	biao1
814	穮	biao1
815	镳	biao1
816	飆	biao1
817	飇	biao1
818	飈	biao1
819	飊	biao1
820	驃	biao1
821	鑣	biao1
822	驫	biao1
823	表	biao3
824	婊	biao3
825	裱	biao3
826	諘	biao3
827	褾	biao3
828	錶	biao3
829	檦	biao3
830	俵	biao4
831	摽	biao4
832	鳔	biao4
833	鰾	biao4
834	憋	bie1
835	鳖	bie1
836	鱉	bie1
837	鼈	bie1
838	虌	bie1
839	龞	bie1
840	別	bie2
841	别	bie2
842	咇	bi4
843	莂	bie2
844	蛂	bie3
845	徶	bie2
846	襒	bie2
847	蟞	bie2
848	蹩	bie2
849	瘪	bie3
850	彆	bie4
851	汃	pa4
852	汃	bin1
853	邠	bin1
854	砏	pin1
855	宾	bin1
856	彬	bin1
857	傧	bin1
858	斌	bin1
859	椕	bin1
860	滨	bin1
861	缤	bin1
862	瑸	bin1
863	豩	bin1
864	賓	bin1
865	賔	bin1
866	镔	bin1
867	儐	bin1
868	濒	bin1
869	濱	bin1
870	濵	bin1
871	虨	ban1
872	豳	bin1
873	璸	bin1
874	瀕	bin1
875	霦	bin1
876	繽	bin1
877	蠙	bin1
878	鑌	bin1
879	顮	bin1
880	氞	bin4
881	摈	bin4
882	殡	bin4
883	膑	bin4
884	髩	bin4
885	擯	bin4
886	鬂	bin4
887	殯	bin4
888	臏	bin4
889	髌	bin4
890	鬓	bin4
891	髕	bin4
892	鬢	bin4
893	仌	bing1
894	氷	bing1
895	冰	bing1
896	兵	bing1
897	掤	bing1
898	鋲	bing1
899	檳	bing1
900	丙	bing3
901	邴	bing3
902	陃	bing3
903	怲	bing3
904	抦	bing3
905	秉	bing3
906	苪	bing3
907	昞	bing3
908	昺	bing3
909	柄	bing3
910	炳	bing3
911	饼	bing3
912	眪	bing3
913	窉	bin4
914	蛃	bing3
915	棅	bing3
916	禀	bing3
917	鈵	bing4
918	鉼	bing3
919	鞆	bing3
920	餅	bing3
921	餠	bing3
922	燷	lan3
923	并	bing4
924	并	bing1
925	並	bing4
926	併	bing4
927	幷	bing4
928	垪	bing4
929	庰	bing3
930	倂	bing4
931	栤	ping4
932	病	bing4
933	竝	bing4
934	偋	bing4
935	傡	bing4
936	寎	bing4
937	摒	bing4
938	誁	bing4
939	鮩	bing4
940	靐	bing4
941	癶	bo1
942	拨	bo1
943	波	bo1
944	玻	bo1
945	剥	bo1
946	盋	bo1
947	砵	bo1
948	袚	fu2
949	袯	bo1
950	钵	bo1
951	饽	bo1
952	饽	bo0
953	啵	bo0
954	紴	bo1
955	缽	bo1
956	脖	bo2
957	菠	bo1
958	碆	bo1
959	鉢	bo1
960	僠	fan1
961	嶓	bo1
962	撥	bo1
963	播	bo1
964	餑	bo1
965	磻	pan2
966	蹳	bo1
967	驋	bo1
968	鱍	bo2
969	仢	shao2
970	伯	bo2
971	孛	bei4
972	犻	bei4
973	驳	bo2
974	帛	bo2
975	泊	bo2
976	狛	po4
977	瓝	bo2
978	苩	bai2
979	侼	bo2
980	勃	bo2
981	柭	ba2
982	胉	bo2
983	郣	bo2
984	亳	bo2
985	挬	bo2
986	浡	bo2
987	瓟	bo2
988	瓟	pao2
989	秡	bo2
990	钹	bo2
991	铂	bo2
992	桲	po4
993	淿	mi4
994	舶	bo2
995	博	bo2
996	渤	bo2
997	湐	bo2
998	葧	bo2
999	鹁	bo2
1000	愽	bo2
1001	搏	bo2
1002	猼	bo2
1003	鈸	bo2
1004	鉑	bo2
1005	馎	bo2
1006	鲌	bo2
1007	鲌	ba4
1008	僰	bo2
1009	煿	bao4
1010	牔	bo2
1011	箔	bo2
1012	膊	bo2
1013	艊	bo2
1014	馛	ba2
1015	駁	bo2
1016	踣	bo2
1017	鋍	bo2
1018	镈	bo2
1019	壆	xue2
1020	薄	bo2
1021	薄	bo4
1022	薄	bao2
1023	馞	bo2
1024	駮	bo2
1025	鮊	ba4
1026	襏	bo2
1027	豰	gou4
1028	嚗	bo1
1029	懪	bo2
1030	礡	bo2
1031	簙	bo2
1032	鎛	bo2
1033	餺	bo2
1034	鵓	bo2
1035	犦	bao4
1036	髆	bo2
1037	髉	bo2
1038	欂	bo2
1039	襮	bo2
1040	礴	bo2
1041	鑮	bo2
1042	蚾	bo3
1043	跛	bo3
1044	箥	po3
1045	簸	bo3
1046	簸	bo4
1047	孹	bo4
1048	擘	bo4
1049	檗	bo4
1050	糪	bo4
1051	譒	bo4
1052	蘗	bo4
1053	蔔	bo2
1054	峬	bu1
1055	庯	bu1
1056	逋	bu1
1057	钸	bu1
1058	晡	bu1
1059	鈽	bu1
1060	誧	bu1
1061	餔	bu1
1062	轐	bu2
1063	醭	bu2
1064	卜	bo0
1065	卜	bu3
1066	卟	bu3
1067	补	bu3
1068	哺	bu3
1069	捕	bu3
1070	補	bu3
1071	鳪	bu3
1072	獛	bu2
1073	鵏	bu1
1074	鸔	bo2
1075	不	bu4
1076	不	bu2
1077	布	bu4
1078	佈	bu4
